Recency,Frequency,Monetary
0,189,47507.89
0,37,6812.38
1,57,12984.72
0,270,57799.29
30,16,6138.36
122,11,2876.91
0,40,6911.81
61,9,1817.37
91,32,7377.7
0,111,21125.47
0,19,1155.8600000000001
0,50,6452.64
0,90,26212.25
0,219,76698.56
1,72,24130.82
0,17,2804.92
91,16,1723.81
0,258,49764.2
256,2,124.6
30,8,2112.9
1,98,22440.9
0,281,67166.54
62,2,198.32999999999998
243,9,860.3000000000001
0,197,42168.73
92,12,2168.66
0,32,4591.38
0,1024,1195119.67
92,15,5211.36
0,46,14046.8
1,44,16827.46
0,230,3571038.11
0,52,12167.71
252,9,4231.360000000001
0,60,14168.23
0,162,35758.94
92,36,7442.19
0,26,6151.49
1,25,3704.29
0,20,3007.7
62,73,1854245.68
0,6,1368.95
213,5,315.46000000000004
0,49,8535.91
0,227,63298.82
0,2,616.05
0,47,6447.24
0,93,24703.74
153,32,5508.6900000000005
61,37,10478.66
154,16,3757.34
61,5,607.16
0,20,1366659.74
264,2,337.28999999999996
1,55,10958.01
243,6,4688.4
213,7,1758.7400000000002
91,6,1267.91
0,301,64271.5
0,26,3729.95
1,9,1541.04
0,8,1032.72
92,7,2041.46
0,48,4865.0599999999995
254,1,370.17
1,8,2440.79
256,1,190.56
0,40,9334.78
61,60,8444.77
1,39,16631.78
62,1,126.21
1,23,2956.02
213,13,4522.16
0,38,3872.63
213,2,275.59
0,33,4948.99
62,29,4835.24
0,135,162217.93
61,12,1100.16
214,5,752.78
0,35,6979.27
122,2,444.53
61,20,3051.03
184,9,1077.76
215,9,1554.03
0,100,23660.37
92,2,394.4
0,40,10068.79
215,6,2142.96
61,77,19478.31
61,6,1540.95
0,21,8232.69
0,17,1837.98
0,92,16309.63
91,27,8223.81
91,33,10744.6
214,3,658.52
122,10,1478.71
0,4,774.4
0,78,12171.460000000001
0,317,66578.37
0,59,10228.06
243,5,762.4
1,33,6219.0
0,34,5544.0
0,30,6712.26
62,21,1727.09
0,18,2050.54
213,6,761.8
153,24,2249.35
0,260,181960.24
91,1,42.5
91,4,880.49
0,12,2014.35
184,8,2371.61
0,128,29380.54
0,19,4068.6
184,12,1945.58
62,16,1222.48
0,17,7380.49
91,22,2295.2200000000003
1,43,7669.01
61,8,660.03
1,10,1534.88
213,8,1123.84
0,33,4069.78
282,1,92.14
153,12,1397.67
0,6,1813.7400000000002
251,1,213.56
1,11,3038.33
213,10,2485.8
0,9,593.48
243,3,400.58000000000004
91,13,1799.8300000000002
122,20,2911.4
1,4,603.42
213,3,332.49
0,142,30262.53
0,182,96297.29
0,151,1147610.93
0,95,19218.27
184,6,471.62
214,7,1945.0300000000002
30,163,59572.3
0,56,7555.02
0,76,11878.6
0,592,205584.92
0,570,161009.63
0,237,72874.22
0,665,8286078.94
213,13,1843.6799999999998
249,6,1202.8799999999999
123,14,4970.67
0,21,4985.23
0,59,13651.289999999999
0,242,57005.78
0,217,44957.64
0,136,916435.78
0,29,674246.55
0,43,8529.24
0,30,5350.0199999999995
248,17,1679.15
0,97,26088.84
0,88,24487.87
213,25,4346.21
0,60,15334.16
0,193,69895.4
0,15,2788.51
0,39,5461.61
0,257,56017.12
0,89,17455.170000000002
251,3,185.38
0,91,24996.42
0,18,3103.8
61,57,32623.78
61,37,5640.71
0,10,2278.11
0,52,13860.630000000001
30,23,4028.51
213,14,3365.1
62,2,280.87
0,61,267682.14
0,107,21117.88
249,25,3743.6499999999996
0,18,5229.33
0,40,4802.01
0,52,7656.64
1,31,4609.64
1,49,13536.39
213,28,1220.03
0,207,245799.75
0,26,5834.46
0,360,85079.04
0,458,482946.59
0,49,14640.83
0,311,71196.95
91,20,4285.11
0,56,1338928.91
0,17,2542.39
1,111,27074.79
0,113,22974.0
0,38,6708.36
1,27,3638.65
250,9,2736.74
0,302,85496.85
0,200,1418292.48
0,147,31256.83
243,6,1059.6100000000001
0,157,32744.4
0,268,602996.43
0,11,2494.71
61,37,9883.22
0,95,38032.28
251,6,822.7
